,quant,hybrid
2026-01-17,0.0,0.0
2026-01-18,0.0,0.0
2026-01-19,0.0,0.0
2026-01-20,0.0,0.0
2026-01-21,0.0,0.0
2026-01-22,0.0,0.0
2026-01-23,0.0,0.0
2026-01-24,0.0,0.0
2026-01-25,0.0,0.0
2026-01-26,0.0,0.0
2026-01-27,0.0,0.0
2026-01-28,0.0,0.0
2026-01-29,0.0,0.0
2026-01-30,0.0,0.0
2026-01-31,0.0,0.0
2026-02-01,0.0,0.0
2026-02-02,0.0,0.0
2026-02-03,0.0,0.0
2026-02-04,0.0,0.0
2026-02-05,-0.007878578558207616,-0.006775240819548722
2026-02-06,-0.007878578558207727,-0.006775240819548722
2026-02-07,-0.007878578558207616,-0.008193838049416646
2026-02-08,-0.00012708095840452405,-0.00010379357111389709
2026-02-09,-0.007813035393531842,-0.005959202864251001
2026-02-10,-0.007878578558207727,-0.006460021602952448
2026-02-11,-0.007878578558207616,-0.007248086425531874
2026-02-12,0.00038414630491190316,0.0002848063792071365
2026-02-13,0.012176786720932586,0.009247261490331615
2026-02-14,0.002748678009606653,0.0025857718962585263
2026-02-15,-0.009115865358444553,-0.008573644133380576
2026-02-16,-0.004409858642823505,-0.0030597138855154027
2026-02-17,0.0007052003158385389,0.0005437064201652131
2026-02-18,-0.004371182036869259,-0.0036787582720223533
2026-02-19,0.0003900865848212032,0.000405577956456904
2026-02-20,-0.002427897466933837,-0.0023170719802863005
2026-02-21,-0.0005966826743005749,-0.0005509472845857122
2026-02-22,0.0017572896904676227,0.0014131031683102258
2026-02-23,-0.004286514276336528,-0.003750172501878146
2026-02-24,-0.003932864386762214,-0.002988849768140067
2026-02-25,0.0128923615348846,0.012118859163795292
2026-02-26,-0.0017457095295765335,-0.0017947981540386015
2026-02-27,-0.005733193035711626,-0.005070020987019586
2026-02-28,0.0020859639168844257,0.0015188021829009024
2026-03-01,-0.0015261075234118682,-0.0012996497563664278
2026-03-02,0.0052998070484149284,0.004964099188809579
2026-03-03,-0.006140539307148973,-0.00615127387307246
2026-03-04,0.00834640015960808,0.00834640015960808
2026-03-05,-0.007098995789099671,-0.007098995789099671
2026-03-06,0.0009055460372653368,0.0009055460372653368
2026-03-07,0.00023341637193330378,0.00023341637193330378
2026-03-08,0.0010927194875736124,0.0010927194875736124
2026-03-09,-0.0019665423359856993,-0.0019665423359858103
2026-03-10,-0.0007202417709247788,-0.0007202417709246678
2026-03-11,-0.00023663465203016543,-0.00023663465203027645
2026-03-12,-0.00032391537737153087,-0.00032391537737141984
2026-03-13,0.00256812598093048,0.00256812598093048
2026-03-14,0.0005748041100976931,0.0005748041100976931
2026-03-15,0.014118406870721634,0.014118406870721634
2026-03-16,0.029004531480479656,0.029004531480479656
2026-03-17,-0.005599051901342245,-0.005599051901342134
2026-03-18,-0.01796963560841225,-0.01796963560841225
2026-03-19,-0.010915124887674321,-0.01091512488767421
2026-03-20,0.0013193801152566742,0.0013193801152566742
2026-03-21,-0.010487393758371821,-0.010487393758372043
