model,horizon,r2,mae,rmse,mape,dir_acc,n_predictions
lgb,7,0.9807252297659936,2771.559931074246,5240.852731247947,0.08099187093101204,0.46726190476190477,336
lgb,14,0.9535389385503588,4575.002950691986,8085.074046417711,0.14096674661147884,0.48757763975155277,322
