sl,ee,tp,scope,sharpe,total_return,max_drawdown,calmar,win_rate,profit_factor,n_bars
0.0,1.0,0.0,portfolio,3.2577642558070434,3.010062371818038,0.03512542191760291,10.13725266061862,0.5460176991150443,2.023764612061593,1149
0.0,1.0,0.0,bitcoin,1.8449377838260133,1.9096614790819415,0.07181354369799398,3.6755135498764666,0.5013286093888397,1.6402518609378236,1149
0.0,1.0,0.0,ethereum,1.1247418008120025,0.7566626587720664,0.15002277920674814,0.8767206998389321,0.5280289330922242,1.4724735529837973,1149
0.0,1.0,0.0,binancecoin,1.6401760535539671,2.3042116369392986,0.0981394693287854,3.053800118232882,0.5106194690265486,1.5012526324576447,1149
0.0,1.0,0.0,solana,2.7025250044361795,12.08598300904668,0.10430909278527452,7.263774592250984,0.515929203539823,1.8152791013818832,1149
0.0,1.0,0.01,portfolio,3.0306302331339166,2.6168944313285447,0.037304586014443045,8.731615587957814,0.536283185840708,1.922521325784762,1149
0.0,1.0,0.01,bitcoin,1.7119562315009809,1.6700866944695787,0.07717142743789784,3.114560610091233,0.4995571302037201,1.5787934405300343,1149
0.0,1.0,0.01,ethereum,1.0408527734584456,0.6764875079674957,0.15682055371949463,0.7651682193530992,0.5237226277372263,1.4336984412427272,1149
0.0,1.0,0.01,binancecoin,1.4650630804191156,1.8781798593689656,0.10402809343711986,2.5083566940088824,0.504424778761062,1.436130801940179,1149
0.0,1.0,0.01,solana,2.568179265895579,10.367534156150448,0.10430909278527464,6.751442085729739,0.5176991150442478,1.7593748160517493,1149
0.0,1.0,0.02,portfolio,3.1134511107773886,2.754518310724672,0.036855278959610195,9.133891506065806,0.5398230088495575,1.9585992989883514,1149
0.0,1.0,0.02,bitcoin,1.7720889742292139,1.7687058427360234,0.07462243857356675,3.3536954032361788,0.49867139061116034,1.6052185197044502,1149
0.0,1.0,0.02,ethereum,1.0698502366598839,0.7027916886253684,0.1551524600062936,0.7980846517961895,0.5237226277372263,1.447438700631247,1149
0.0,1.0,0.02,binancecoin,1.5343895213197118,2.045104880094368,0.10402809343712056,2.6591616830605043,0.5070796460176992,1.4618288941964934,1149
0.0,1.0,0.02,solana,2.6079153775469384,10.840357268561474,0.1043090927852748,6.898126397720807,0.5176991150442478,1.775966835159074,1149
0.0,1.0,0.03,portfolio,3.166690555894876,2.8410064988367747,0.036285595959075365,9.461748631669657,0.54070796460177,1.9823841225229872,1149
0.0,1.0,0.03,bitcoin,1.7991456615722272,1.8183482848847046,0.07181354369799413,3.552859041018107,0.5022143489813995,1.6180116110949088,1149
0.0,1.0,0.03,ethereum,1.088089605891199,0.7196903326734794,0.15263280171524438,0.8272235639165157,0.5237226277372263,1.4576021563250976,1149
0.0,1.0,0.03,binancecoin,1.5782597004893029,2.147754338729587,0.1027362971142896,2.7832828289545284,0.5097345132743363,1.4782943485263231,1149
0.0,1.0,0.03,solana,2.63708683031026,11.201713712529285,0.10430909278527507,7.007177257773729,0.5176991150442478,1.7875573913826368,1149
0.0,1.0,0.05,portfolio,3.2038803574204224,2.9097313624063763,0.035591183673979655,9.793442555967006,0.5460176991150443,1.9995013101437844,1149
0.0,1.0,0.05,bitcoin,1.8101152567439325,1.8467075092902925,0.07185380034580983,3.589267956933791,0.5022143489813995,1.6231931682555805,1149
0.0,1.0,0.05,ethereum,1.1042754238484445,0.7357004389263448,0.15136879085728186,0.8492688533000231,0.5255474452554745,1.4661557647318504,1149
0.0,1.0,0.05,binancecoin,1.61418284612836,2.2346315689416,0.10141725837607012,2.895421871078112,0.5088495575221239,1.4910257101283964,1149
0.0,1.0,0.05,solana,2.660187898781702,11.500669314988471,0.10430909278527484,7.095506756045033,0.515929203539823,1.7973540113385251,1149
