date,btc,eth,sleeve
2021-11-08,-0.0004187384786498171,-0.000931038478649817,-0.0006748884786498171
2021-11-09,0.0019092439108601424,0.0009208226334854701,0.0014150332721728062
2021-11-10,0.0015881850529378605,0.00028566919340060494,0.0009369271231692327
2021-11-11,-3.267805648146067e-05,0.0006462840407427463,0.00030680299213064284
2021-11-12,0.001537131093456587,0.0007680595547965258,0.0011525953241265565
2021-11-13,0.00043627569939016614,0.0002874691066742057,0.0003618724030321859
2021-11-14,0.0006501586876117936,-0.00036043176616696156,0.00014486346072241604
2021-11-15,0.00025433858386103597,0.00048417612084992193,0.00036925735235547895
2021-11-16,-0.00016924536159207353,0.0003225173691557487,7.663600378183758e-05
2021-11-17,0.0007739564952604686,-0.00019177610454346576,0.00029109019535850144
2021-11-18,0.00010521260921658897,7.238739179959592e-05,8.880000050809245e-05
2021-11-19,0.000444023666067102,0.0009895333648427499,0.000716778515454926
2021-11-20,0.0007882722430793093,-8.798956462697076e-05,0.0003501413392261693
2021-11-21,-5.6060890858193375e-05,0.0002303550841019591,8.714709662188287e-05
2021-11-22,-0.0002766818003151523,0.00022426584978696036,-2.6207975264095964e-05
2021-11-23,0.0005457238511791042,0.0001510625811466065,0.00034839321616285537
2021-11-24,0.00010938489496184573,-0.00014514123762344016,-1.7878171330797213e-05
2021-11-25,0.0007855816693861755,0.0010656909202716677,0.0009256362948289216
2021-11-26,-0.0007423757874508876,0.00041593436864646526,-0.00016322070940221115
2021-11-27,0.0005632430996602744,0.0002589849150415007,0.00041111400735088755
2021-11-28,8.722054664655638e-05,-0.00014440227449131042,-2.859086392237702e-05
2021-11-29,2.1204534235681357e-05,0.0007326757086077956,0.0003769401214217385
2021-11-30,0.0015047592558881477,0.0002449828882523745,0.0008748710720702612
2021-12-01,-0.0001989052591595919,-0.0010613486398087485,-0.0006301269494841702
2021-12-02,0.00016465244806680444,0.0003337267605517629,0.0002491896043092837
2021-12-03,0.00015521746230098872,0.0006244152442812988,0.00038981635329114376
2021-12-04,0.0010399044524942328,-0.00043324187741162595,0.0003033312875413034
2021-12-05,0.0009230838426188746,0.0007193082625432906,0.0008211960525810827
2021-12-06,-0.0007107403095135728,5.334025412528526e-05,-0.00032870002769414377
2021-12-07,0.0005665041055715653,0.0002894754594363146,0.00042798978250393994
2021-12-08,0.0004164278106771851,0.0005808222580653238,0.0004986250343712545
2021-12-09,-0.0010361287887845178,7.863474125790633e-05,-0.00047874702376330574
2021-12-10,3.9942938972355406e-05,-0.00041051198179551377,-0.0001852845214115792
2021-12-11,0.0013753854406078861,0.0017808131270555508,0.0015780992838317185
2021-12-12,-0.0005887163193819584,-0.0008465674787746552,-0.0007176418990783068
2021-12-13,0.0008892832602077588,0.000367387670374187,0.0006283354652909729
