engine,sl,ee,tp,is_sr,oos_sr,is_dd,oos_dd,is_calmar,oos_calmar,is_ret,oos_ret
close_only,0.0,1.0,0.0,3.2577642558070434,2.9165294826631825,0.0351254219176029,0.0473177236370025,10.13725266061862,6.005410972353177,3.010062371818038,0.5911925954039263
close_only,0.0,1.0,0.01,3.030630233133917,2.808874324114045,0.037304586014443,0.0483478431338594,8.731615587957814,4.681094246480216,2.6168944313285447,0.4606644789948526
close_only,0.0,1.0,0.02,3.113451110777389,2.7629071730396992,0.0368552789596101,0.0478364728514702,9.133891506065806,5.566158461503672,2.754518310724672,0.5502547879850941
close_only,0.0,1.0,0.03,3.166690555894876,2.805146028081883,0.0362855959590753,0.0478876328357454,9.461748631669655,5.6498972319569845,2.8410064988367747,0.5600338895103527
close_only,0.0,1.0,0.05,3.2038803574204224,2.8511907816595405,0.0355911836739796,0.0476533820797773,9.793442555967006,5.800776553323493,2.9097313624063763,0.5734373021577213
close_only,0.0,1.0,0.08,3.23517219657191,2.884896899756925,0.0354629164237273,0.0473177236370019,9.939292337552416,5.92546349626881,2.961765935040787,0.5824984279657492
close_only,0.0,1.0,0.12,3.2368094221621395,2.903221258955232,0.0355911836739794,0.0473177236370019,9.922864494949025,5.972026090584859,2.970992660909717,0.5875593664137082
close_only,0.005,1.0,0.0,3.3619693336268157,2.9825084975761977,0.0350668373919392,0.0460268191908514,11.48145698904742,6.337281370975239,3.677074341921713,0.6085466326460629
close_only,0.005,1.0,0.01,3.1449567146124204,2.7787192576541524,0.0372162039264801,0.0467287851117737,9.145608715575625,5.737669843544396,2.802563011966793,0.5544612910234028
close_only,0.005,1.0,0.02,3.23701920653676,2.8587383040795618,0.0365981611038637,0.0463682496179309,10.49474601725436,5.976729682465294,3.401896698643529,0.575049043831092
close_only,0.005,1.0,0.03,3.282755100755805,2.8976784609116204,0.0360283260226823,0.0463682496179304,10.840868854981482,6.065585460898614,3.4967954835682877,0.5844985789303985
close_only,0.005,1.0,0.05,3.316450048264552,2.931678252529136,0.0355326274280862,0.0462509352521425,11.141919116304887,6.176186268947965,3.5758209123135343,0.5946276793432586
close_only,0.005,1.0,0.08,3.340010479195517,2.9564800880574027,0.0354043455307875,0.0460268191908516,11.276068318571642,6.269566797067788,3.625655485107589,0.6013460753253479
close_only,0.005,1.0,0.12,3.3414067016150417,2.971627105269417,0.0355326274280863,0.0460268191908516,11.25296059055395,6.30974109844276,3.635090343058227,0.6056162868032902
close_only,0.01,1.0,0.0,3.384675396000984,3.010847832353981,0.0350366189585032,0.0453833914340421,11.590909465846448,6.4969945457912575,3.730339018329162,0.6158873752304486
close_only,0.01,1.0,0.01,3.111115408375359,2.8343052609708046,0.0367263372815525,0.0463859064432011,9.462614299503263,5.913372146875493,2.896094180032603,0.5685657795174699
close_only,0.01,1.0,0.02,3.2801399167977854,2.908287336453627,0.0363926294805211,0.0456130501366452,10.73519626716643,6.195938367297704,3.4983241305056296,0.5876351504736073
close_only,0.01,1.0,0.03,3.3150064964469794,2.933550382782437,0.035822672831034,0.045613050136646,11.044615303779551,6.256102069653361,3.5720254794308834,0.5939493915658822
close_only,0.01,1.0,0.05,3.345273751688056,2.965168302961392,0.0355024235816144,0.0454956428673362,11.277317045211658,6.35996800746849,3.643019114041977,0.6031527697416457
close_only,0.01,1.0,0.08,3.364921130877077,2.987739729726203,0.0353741341292347,0.045383391434042,11.391127859506115,6.433483538716913,3.682137842481983,0.6092136790240363
close_only,0.01,1.0,0.12,3.368439056615422,2.999124571263448,0.0355024235816142,0.045383391434042,11.379132164062884,6.467803065099455,3.697915244850458,0.6128183699631768
