sl,ee,tp,scope,n_intrabar_sl,n_intrabar_tp,sharpe,total_return,max_drawdown,calmar,win_rate,profit_factor,n_bars
0.0,1.0,0.0,portfolio,0,0,3.2577642558070434,3.010062371818038,0.03512542191760291,10.13725266061862,0.5460176991150443,2.023764612061593,1149
0.0,1.0,0.0,bitcoin,-1,-1,1.8449377838260133,1.9096614790819415,0.07181354369799398,3.6755135498764666,0.5013286093888397,1.6402518609378236,1149
0.0,1.0,0.0,ethereum,-1,-1,1.1247418008120025,0.7566626587720664,0.15002277920674814,0.8767206998389321,0.5280289330922242,1.4724735529837973,1149
0.0,1.0,0.0,binancecoin,-1,-1,1.6401760535539671,2.3042116369392986,0.0981394693287854,3.053800118232882,0.5106194690265486,1.5012526324576447,1149
0.0,1.0,0.0,solana,-1,-1,2.7025250044361795,12.08598300904668,0.10430909278527452,7.263774592250984,0.515929203539823,1.8152791013818832,1149
0.0,1.0,0.01,portfolio,1942,1503,1.7616475245999008,0.3317663066593226,0.030422509473644676,2.1317470134457226,0.7141592920353982,1.3841773257695722,1149
0.0,1.0,0.01,bitcoin,-1,-1,0.5933179150952238,0.16149173979192333,0.11062993594927811,0.3017128717895794,0.6651904340124003,1.1410145394822588,1149
0.0,1.0,0.01,ethereum,-1,-1,-0.06394494510750609,-0.017179731619184624,0.15274331477178768,-0.024835171140767283,0.7645985401459854,0.979872326818866,1149
0.0,1.0,0.01,binancecoin,-1,-1,1.2835591935185553,0.475912558868715,0.08781204925641195,1.0149759374841258,0.7283185840707964,1.2828410157993002,1149
0.0,1.0,0.01,solana,-1,-1,2.0537094573620513,0.8281238329000593,0.06884322767269226,2.0549156935949395,0.8407079646017699,1.539145982814915,1149
0.0,1.0,0.02,portfolio,1842,1174,2.512698186333153,0.7633722205833351,0.03384433064686552,3.914231414503523,0.6557522123893805,1.5476743929108527,1149
0.0,1.0,0.02,bitcoin,-1,-1,1.2345247668581854,0.5364317090784392,0.09397024974831689,1.0510641338583673,0.5589016829052259,1.2946593386166212,1149
0.0,1.0,0.02,ethereum,-1,-1,0.18497376212303096,0.04908776294119055,0.15534720404822483,0.06801224047288743,0.6355311355311355,1.0600160966386525,1149
0.0,1.0,0.02,binancecoin,-1,-1,1.4430737821379114,0.8596098205185299,0.08924294311090962,1.6331835250404472,0.5893805309734513,1.3154892573895,1149
0.0,1.0,0.02,solana,-1,-1,2.527249300748959,2.075097860212904,0.0913163107336213,3.0594181055631386,0.7150442477876107,1.5600051641139767,1149
0.0,1.0,0.03,portfolio,1700,863,2.531103610916668,0.9267927337578901,0.03268187513170577,4.733606002909681,0.5982300884955752,1.5519023303555146,1149
0.0,1.0,0.03,bitcoin,-1,-1,1.3922906123994674,0.7400765712659956,0.083038932726164,1.5556104837260596,0.5270150575730735,1.3517343911098527,1149
0.0,1.0,0.03,ethereum,-1,-1,0.3847001109163217,0.13058365956282025,0.16069612720176224,0.16978462140049616,0.5711678832116789,1.1232003646354554,1149
0.0,1.0,0.03,binancecoin,-1,-1,1.1410201089572491,0.7409997073077015,0.11652328711403934,1.1097145766813183,0.5486725663716814,1.248946669812225,1149
0.0,1.0,0.03,solana,-1,-1,2.4858025359807274,2.7722671724462327,0.12378352598489735,2.7306977453058674,0.6247787610619469,1.5279766890285342,1149
0.0,1.0,0.05,portfolio,1568,923,3.144257058868267,1.9165604611337987,0.033331311061316676,7.938731532893657,0.5716814159292035,1.7891009456920615,1149
