sl,ee,tp,scope,n_intrabar_sl,n_intrabar_tp,sharpe,total_return,max_drawdown,calmar,win_rate,profit_factor,n_bars
0.0,1.0,0.0,portfolio,0,0,3.1093289836436138,4.72219948251181,0.03512542191760291,8.880914813119771,0.549375,1.9588011428775378,1619
0.0,1.0,0.0,bitcoin,-1,-1,1.9135824082827249,3.243827428508607,0.07181354369799398,3.513390760007546,0.5046904315196998,1.673816497346364,1619
0.0,1.0,0.0,ethereum,-1,-1,0.9469517078844776,0.7566626587720664,0.15002277920674814,0.6109529030590309,0.5280289330922242,1.4724735529837973,1619
0.0,1.0,0.0,binancecoin,-1,-1,1.5209368482477246,3.9891960455027062,0.1455289866804669,1.9532196588831505,0.51375,1.4626397613201727,1619
0.0,1.0,0.0,solana,-1,-1,2.4907948851881843,22.44093481443043,0.1158347385990818,5.472885749211296,0.516875,1.7298134810360843,1619
0.0,1.0,0.01,portfolio,2638,2037,1.5923158432906666,0.42536354122690745,0.030422509473644676,1.8643171336656814,0.7025,1.3444806973007437,1619
0.0,1.0,0.01,bitcoin,-1,-1,0.595296712002069,0.223248875289912,0.11062993594927811,0.2880096663604344,0.6622889305816135,1.142331764036133,1619
0.0,1.0,0.01,ethereum,-1,-1,-0.05387616690714789,-0.017179731619184624,0.15274331477178768,-0.017635175758110824,0.7645985401459854,0.979872326818866,1619
0.0,1.0,0.01,binancecoin,-1,-1,0.9429519456639058,0.5435715780666037,0.08781204925641195,0.7960551657172535,0.72375,1.212545102332885,1619
0.0,1.0,0.01,solana,-1,-1,1.9123631226092919,1.1587647894062325,0.06884322767269226,1.8483785316950792,0.83125,1.4850622169140724,1619
0.0,1.0,0.02,portfolio,2486,1605,2.385727743730674,1.0430214443188461,0.03384433064686552,3.4753481838626383,0.6425,1.5158535467059235,1619
0.0,1.0,0.02,bitcoin,-1,-1,1.5001576512090913,1.019896094723522,0.09397024974831689,1.2306264678971461,0.5572232645403377,1.3726194401155951,1619
0.0,1.0,0.02,ethereum,-1,-1,0.15584506622396396,0.04908776294119055,0.15534720404822483,0.04819441691482219,0.6355311355311355,1.0600160966386525,1619
0.0,1.0,0.02,binancecoin,-1,-1,1.0405524229525003,0.8768804919190567,0.15123459006989495,0.680815022038951,0.5898617511520737,1.2321098796452379,1619
0.0,1.0,0.02,solana,-1,-1,2.320730286962565,3.1110861103925753,0.0913163107336213,2.695356184197269,0.7,1.5030755202225217,1619
0.0,1.0,0.03,portfolio,2277,1184,2.486245304363044,1.3529867611814188,0.03268187513170577,4.359166282992479,0.6,1.5474189875184243,1619
0.0,1.0,0.03,bitcoin,-1,-1,1.5987969828521256,1.3570825021598996,0.083038932726164,1.7193746512390835,0.5303314571607255,1.4203833121554432,1619
0.0,1.0,0.03,ethereum,-1,-1,0.32409830212356583,0.13058365956282025,0.16069612720176224,0.12002401323850971,0.5711678832116789,1.1232003646354554,1619
0.0,1.0,0.03,binancecoin,-1,-1,0.9557173237129951,0.91819625157571,0.15299715011641418,0.6974461542373582,0.5497037524687294,1.2165845138554465,1619
0.0,1.0,0.03,solana,-1,-1,2.25751156850234,4.488186373711956,0.12378352598489735,2.451431238337901,0.61875,1.4879423616647036,1619
0.0,1.0,0.05,portfolio,2191,1392,3.043119961311181,3.0083998853304097,0.033331311061316676,7.237439033803542,0.56875,1.7599202440354051,1619
0.0,1.0,0.05,bitcoin,-1,-1,1.7837131683894447,2.038212000036865,0.0683185622651817,2.7639848482572895,0.5209505941213258,1.5288195241546798,1619
0.0,1.0,0.05,ethereum,-1,-1,1.5172633862990836,2.091449532634038,0.12861692095170507,1.4931953928323252,0.545,1.3764977720110925,1619
0.0,1.0,0.05,binancecoin,-1,-1,1.2439250339204242,1.6362478711406276,0.15289726577246657,1.0651555595466917,0.5344714379514117,1.3086082935028842,1619
0.0,1.0,0.05,solana,-1,-1,2.438810824641421,8.124445335100866,0.12696860035104682,3.2352475359896653,0.5575,1.5530156880300012,1619
0.0,1.0,0.08,portfolio,1146,587,3.0013520152905793,3.211891101281913,0.03643644508940257,6.884246953418812,0.559375,1.8225911449176335,1619
0.0,1.0,0.08,bitcoin,-1,-1,1.9586148346276566,3.020875436138061,0.07255959282214287,3.3328997602292536,0.5109443402126329,1.6512577323568483,1619
0.0,1.0,0.08,ethereum,-1,-1,0.7826718541819887,0.5330429858510213,0.15165199001939753,0.45343319534922144,0.5406896551724137,1.3083192161938528,1619
0.0,1.0,0.08,binancecoin,-1,-1,1.44542825927398,2.4242308176284073,0.1581197667726865,1.3355155705215198,0.525065963060686,1.3915380712684149,1619
0.0,1.0,0.08,solana,-1,-1,2.431029852431587,11.84360511984262,0.11300444642239936,4.3173835158585865,0.53875,1.6076410151410299,1619
0.0,1.0,0.12,portfolio,627,300,3.1983216639385788,4.225913645386002,0.03844919816233697,7.634742321985162,0.560625,1.9683377154329962,1619
0.0,1.0,0.12,bitcoin,-1,-1,1.8786507152208576,3.3175978313315593,0.07185380034580904,3.5582362649862596,0.5059412132582864,1.680750411969468,1619
0.0,1.0,0.12,ethereum,-1,-1,0.9515923201138885,0.7068014028540364,0.1509989983682937,0.5746730705080798,0.5291970802919708,1.4520655926695805,1619
0.0,1.0,0.12,binancecoin,-1,-1,1.5383851023721875,3.1782432591415457,0.1534287396761902,1.624707610787873,0.5230870712401056,1.4547999373794707,1619
0.0,1.0,0.12,solana,-1,-1,2.633227547074966,19.340032656079497,0.10430909278527449,5.735441434869392,0.52875,1.7075859668259517,1619
0.005,1.0,0.0,portfolio,2887,2079,1.0407979004305874,0.5757508853814506,0.050672043438621014,1.4474413929877672,0.35125,1.3167846632120672,1619
0.005,1.0,0.0,bitcoin,-1,-1,0.8128447505557396,0.6051335070447692,0.1349371764351979,0.5664550008619507,0.2795497185741088,1.2839533001448222,1619
0.005,1.0,0.0,ethereum,-1,-1,0.14952009550408712,0.05610590556357575,0.15135674243836408,0.05637664130095626,0.21818181818181817,1.0904058656785707,1619
0.005,1.0,0.0,binancecoin,-1,-1,0.3873217021839283,0.2503668773397447,0.15241659176486103,0.23219371714025114,0.2918181818181818,1.1350151245578612,1619
