iter	Logloss
0	0.6460917664
1	0.6085340118
2	0.5728145981
3	0.5501520538
4	0.5178000259
5	0.4824417114
6	0.4565393066
7	0.4336639404
8	0.4171510696
9	0.4064381409
10	0.3854715729
11	0.3692288971
12	0.3474304199
13	0.3319079971
14	0.3165105057
15	0.3025793076
16	0.2894269371
17	0.2821473694
18	0.2691773987
19	0.2555014038
20	0.2513005447
21	0.2477898407
22	0.2358135414
23	0.2290118599
24	0.2191134834
25	0.2128426743
26	0.2055009651
27	0.1985640335
28	0.1932284164
29	0.1886560249
30	0.1835648155
31	0.1808663177
32	0.1749591827
33	0.1712277985
34	0.168647728
35	0.1632723427
36	0.1589404392
37	0.1549160004
38	0.1500510788
39	0.1479673958
40	0.1449216461
41	0.1396745777
42	0.1355613327
43	0.1330306625
44	0.1302547741
45	0.1283973694
46	0.1269309711
47	0.1245626831
48	0.1230963898
49	0.1201232719
50	0.1179495621
51	0.1158150864
52	0.1130915546
53	0.1109485531
54	0.1093273544
55	0.1069882965
56	0.1057506275
57	0.1036567307
58	0.1019373131
59	0.1007344913
60	0.09820997238
61	0.09697094917
62	0.09546220779
63	0.09461086273
64	0.09267776489
65	0.09086503983
66	0.09005273819
67	0.08817047119
68	0.08692539215
69	0.08567304611
70	0.08417780876
71	0.0829785347
72	0.08147933006
73	0.08036972046
74	0.07818171501
75	0.07692015648
76	0.07539932728
77	0.07436940193
78	0.07367267609
79	0.07238474846
80	0.07131261826
81	0.06983506203
82	0.06902816772
83	0.06838936806
84	0.06751535892
85	0.0668416214
86	0.06596585274
87	0.06553917885
88	0.06480587006
89	0.0643610096
90	0.063262043
91	0.0626918602
92	0.06198540688
93	0.06052584648
94	0.05951796532
95	0.05893974304
96	0.05820676804
97	0.05764637947
98	0.05720895767
99	0.05610281944
100	0.05523906708
101	0.05410377502
102	0.0535801506
103	0.0522375679
104	0.05169184208
105	0.05144234657
106	0.05088925362
107	0.05028634071
108	0.04956063747
109	0.04898104668
110	0.04877055168
111	0.04834675789
112	0.04806605816
113	0.047421031
114	0.04666431904
115	0.04606044769
116	0.0452179575
117	0.04440486908
118	0.04391350746
119	0.04332663536
120	0.04303955555
121	0.04280189991
122	0.04218593121
123	0.04169725418
124	0.04128060818
125	0.04054191589
126	0.04019738674
127	0.03947058678
128	0.0390309
129	0.03852999449
130	0.03799546719
131	0.03722864389
132	0.03714907885
133	0.03644961357
134	0.03591884613
135	0.03549547911
136	0.03469918013
137	0.03415785313
138	0.03351161718
139	0.03288551331
140	0.03244986534
141	0.0321963644
142	0.03181597948
143	0.03133994102
144	0.03056573868
145	0.0302637291
146	0.02991134167
147	0.0297450161
148	0.02932787418
149	0.02888143063
150	0.02840254307
151	0.02807856798
152	0.02770264864
153	0.02712997437
154	0.02708550453
155	0.02702913284
156	0.02662735224
157	0.02641701221
158	0.02604216337
159	0.02553853512
160	0.0253115344
161	0.02511286259
162	0.02479279518
163	0.02439974785
164	0.02417554855
165	0.0239387846
166	0.02373275042
167	0.02336452007
168	0.02325419664
169	0.02275676489
170	0.02233915091
171	0.0220781827
172	0.02178007364
173	0.02150118113
174	0.02122315407
175	0.02104972839
176	0.02102249861
177	0.02074994087
178	0.02049212456
179	0.02027074337
180	0.02007911682
181	0.01980154872
182	0.01941916466
183	0.01923118114
184	0.01894221067
185	0.01885540962
186	0.01865769625
187	0.01847247124
188	0.0181661725
189	0.01793517113
190	0.01774659395
191	0.01759111881
192	0.01727816939
193	0.01705149174
194	0.01678653002
195	0.01660923958
196	0.01646169901
197	0.01622943997
198	0.01609028697
199	0.01591401696
